本出版物,阐述,对抗全过程中在电磁频谱以及通过电磁频谱展开的军事行动,_,_
司令部,_,和,_,0
职责,_,和,_,0
总部,_,和,_,0
关系,_,和,_,0
部队,_,和,_,0
本出版物,描述,和,_,0
关系,_,和,_,1
职责,_,和,_,1
它,构建,实施联合电磁频谱作战的框架,_,_
环境,_,所,_,2
行动,_,所,_,2
电磁频谱,是,所,_,2
环境,_,和,_,3
行动,_,和,_,3
各个方面,影响,和,_,3
夺取电磁频谱优势的战斗,持续,一个多世纪,_,_
民用,_,以及,_,4
军用,_,以及,_,4
依赖,_,以及,_,4
商用,_,以及,_,4
电磁频谱技术的发展,导致,以及,_,4
商用,_,和,_,5
民用,_,和,_,5
军用,_,和,_,5
和,依赖,于电磁频谱,5,_
民用,_,以及,_,6
军用,_,以及,_,6
商用,_,以及,_,6
以及,呈,指数级增长,6,_
成本,_,以及,_,7
依赖,_,以及,_,7
以及,构成,巨大的军事挑战,7,_
训练,_,和,_,8
行动,_,和,_,8
约束,_,和,_,9
需求,_,和,_,9
和,是,和,8,9
环境,具有,挑战性,_,_
战略,_,和,_,10
战术,_,和,_,10
战役,_,和,_,10
军事力量,取得,和,_,10
国,_,和,_,11
美国,_,和,_,11
军事力量,整合,联合电磁频谱作战,_,_
联合电磁频谱作战,提供,支持,_,_
联合电磁频谱作战,取得,预期目标,_,_
联合电磁频谱作战,达成,最终状态,_,_
消除,_,以及,_,12
进行,_,以及,_,12
实施联合电磁频谱作战,是,以及,_,12
消除,_,以及,_,13
进行,_,以及,_,13
危机,升级,武装冲突,_,_
危机,为,武装冲突,_,_
联合电磁频谱作战,夺取,电磁频谱优势,_,_
管理,_,和,_,14
攻击,_,和,_,14
防护,_,和,_,14
利用,_,和,_,14
联合电磁频谱作战,是,和,_,14
联合部队,采取,军事行动,_,_
接收,_,和,_,15
发射,_,和,_,15
电磁辐射,_,和,_,16
频率,_,和,_,16
磁场,_,和,_,16
电场,_,和,_,16
波长,_,和,_,16
电磁频谱,是,和,_,16
磁场,_,和,_,17
频率,_,和,_,17
电场,_,和,_,17
波长,_,和,_,17
电磁辐射,_,和,_,17
空间,组成,和,_,17
可见光,_,和,_,18
微波,_,和,_,18
辐射,_,和,_,18
X射线,_,和,_,18
无线电波,_,和,_,18
示,_,和,_,18
伽马射线,_,和,_,18
电磁频谱,包括,和,_,18
辐射,_,或,_,19
平台,_,或,_,19
传导,_,或,_,19
功率,_,或,_,19
系统,_,或,_,19
时间,_,或,_,19
力量,_,或,_,19
电磁环境,是,或,_,19
系统,_,或,_,20
平台,_,或,_,20
力量,_,或,_,20
或,完成,任务,20,_
力量,_,或,_,21
系统,_,或,_,21
平台,_,或,_,21
力量,_,或,_,22
系统,_,或,_,22
平台,_,或,_,22
联合部队遇到的所有电磁辐射,造成,影响,_,_
环境,_,和,_,23
潜在,_,和,_,23
影响,_,和,_,23
电磁辐射,_,和,_,23
决策,_,和,_,23
条件,_,和,_,23
因素,_,和,_,23
应用,_,和,_,23
实际,_,和,_,23
电磁作战环境,是,和,_,23
决策,_,和,_,24
应用,_,和,_,24
应用,_,和,_,25
决策,_,和,_,25
实际,_,和,_,25
电磁辐射,_,和,_,25
因素,_,和,_,25
条件,_,和,_,25
环境,_,和,_,25
影响,_,和,_,25
潜在,_,和,_,25
综合体,组成,和,_,25
辐射,_,以及,_,26
对手,_,以及,_,26
环境,_,以及,_,26
敌方,_,以及,_,26
己方,_,以及,_,26
系统,_,以及,_,26
中立方,_,以及,_,26
它,包括,以及,_,26
电磁区域,受,影响,_,_
敌方,_,和,_,27
对手,_,和,_,27
己方,_,和,_,27
中立方,_,和,_,27
和,进行,辐射,27,_
辐射,_,或,_,28
接收,_,或,_,28
系统,_,或,_,28
它们,影响,联合作战,_,_
电磁作战环境,具有,以下属性,_,_
电磁作战环境,是,物理环境的一部分,_,_
电磁辐射,是,一种物理现象,_,_
静电,_,和,_,29
发射机,_,和,_,29
电力线,_,和,_,29
地形,_,和,_,29
因素,_,和,_,29
海况,_,和,_,29
天气,_,和,_,29
条件,_,和,_,29
系统,_,以及,_,30
机构,_,以及,_,30
和,影响,以及,29,30
系统,_,和,_,31
机构,_,和,_,31
和,进行,电磁辐射,31,_
环境,包括,电磁作战环境在内,_,_
对手,_,和,_,32
敌方,_,和,_,32
军事力量,获得,和,_,32
敌方,_,和,_,33
对手,_,和,_,33
优势地位,优于,和,_,33
电磁频谱,渗透,作战环境各部分,_,_
军事力量,使用,电磁作战环境,_,_
军事力量,整合,其作战行动,_,_
军事力量,同步,其作战行动,_,_
军事力量,增强,其作战行动,_,_
现代军事行动,依赖,用频活动,_,_
通过电磁频谱作战形成的广泛效果,使,电磁频谱作战,_,_
电磁频谱作战,成为,强大的兵力倍增器,_,_
电磁频谱,包含,无限的频率,_,_
政策,_,以及,_,34
物理,_,以及,_,34
技术,_,以及,_,34
用于军事目的,受到,以及,_,34
电磁辐射,具有,独特的物理特征,_,_
通信,_,或,_,35
感知,_,或,_,35
短程,_,或,_,35
远程,_,或,_,35
这,决定,或,_,35
条约,_,和,_,36
法律,_,和,_,36
法规,_,和,_,36
电磁频谱的使用,遵守,和,_,36
接入,_,和,_,37
利用,_,和,_,37
技术,限制,和,_,37
技术能力的进步,拓展,电磁频谱的使用,_,_
军事,_,和,_,38
非军事,_,和,_,38
密度,_,和,_,39
数量,_,和,_,39
和,导致,和,38,39
数量,_,和,_,40
密度,_,和,_,40
联合部队,面临,电磁作战环境,_,_
联合部队面临的电磁作战环境,是,拥塞的,_,_
特性,_,和,_,41
技术,_,和,_,41
军事,_,和,_,42
民事,_,和,_,42
相邻,_,或,_,43
发射,_,或,_,43
相同,_,或,_,43
接收,_,或,_,43
和,寻求,或,42,43
媒体,_,和,_,44
互联网,_,和,_,44
提供商,_,和,_,44
手机,_,和,_,44
和,继续,拓展其电磁频谱带宽需求,44,_
互联网,_,和,_,45
媒体,_,和,_,45
手机,_,和,_,45
提供商,_,和,_,45
和,拓展,其电磁频谱带宽需求,45,_
手机,_,和,_,46
互联网,_,和,_,46
提供商,_,和,_,46
媒体,_,和,_,46
和,压缩,便于联合部队机动的开放的电磁区域,46,_
电磁区域,便于,联合部队机动,_,_
这种拥塞,导致,对接收机的电磁干扰(EMI),_,_
有意,_,或,_,47
无意,_,或,_,47
电磁干扰(EMI),是,或,_,47
无意,_,或,_,48
有意,_,或,_,48
或,造成,电磁扰动,48,_
装备,_,和,_,49
系统,_,和,_,49
设备,_,和,_,49
电磁干扰(EMI),限制,和,_,49
现代军事行动,依赖,电磁频谱,_,_
对手,_,和,_,50
敌方,_,和,_,50
和,是,拒止我们成功使用电磁频谱的能力,50,_
我们,使用,电磁频谱,_,_
武器,_,和,_,51
导弹,_,和,_,51
导弹,_,和,_,52
武器,_,和,_,52
接收机,_,和,_,53
发射机,_,和,_,53
和,削弱,和,52,53
武器,_,和,_,54
导弹,_,和,_,54
发射机,_,和,_,55
接收机,_,和,_,55
和,摧毁,和,54,55
威胁方,进行,发射,_,_
联合部队,面临,电磁作战环境,_,_
联合部队所面临的电磁作战环境,是,不断变化的,_,_
电磁频谱中的军事活动,使,指挥官,_,_
指挥官,做出,决策,_,_
指挥官,开展,行动,_,_
指挥官,产生,效果,_,_
指挥官,提供,决定性优势,_,_
适应性,_,和,_,56
灵活性,_,和,_,56
频谱行动的敏捷性,提供,和,_,56
电磁战斗序列,是,整个战斗序列的一个子集,_,_
身份,_,和,_,57
参数,_,和,_,57
架构,_,和,_,57
作用,_,和,_,57
部署,_,和,_,57
它,包括,和,_,57
部署,_,和,_,58
系统,_,和,_,58
应用,_,和,_,58
这,包括,和,_,58
接收机,_,和,_,59
发射机,_,和,_,59
电磁战斗序列,识别,和,_,59
区域,感,兴趣,_,_
系统,_,和,_,60
平台,_,和,_,60
其,建立,链接,_,_
范围,_,和,_,61
位置,_,和,_,61
电磁战斗序列,确定,和,_,61
信号,_,和,_,62
频谱,_,和,_,62
电磁战斗序列,表征,和,_,62
电磁战斗序列,确定,其在更大建制内战斗序列中的作用,_,_
发射机,_,和,_,63
接收机,_,和,_,63
联合电磁频谱作战,考虑,和,_,63
发射,_,和,_,64
攻击,_,和,_,64
感知,_,和,_,64
接收,_,和,_,64
通信,_,和,_,64
欺骗,_,和,_,64
电磁频谱中的军事行动,包括,和,_,64
电磁能,采用,信息编码,_,_
发射,_,和,_,65
接收,_,和,_,65
和,支持,各种活动,65,_
信令,_,和,_,66
利用,_,和,_,66
分发,_,和,_,66
导航,_,和,_,66
处理,_,和,_,66
链路,_,和,_,66
广播,_,和,_,66
能力,_,和,_,66
传输,_,和,_,66
授时,_,和,_,66
活动,_,和,_,66
授时,_,和,_,67
导航,_,和,_,67
信令,支持,和,_,67
传输,_,和,_,68
活动,_,和,_,68
广播,支持,和,_,68
搜集,_,和,_,69
感知,_,和,_,69
瞄准,_,和,_,69
定位,_,和,_,69
有源感知系统(如空对空雷达、地面雷达、激光目标指示器等),发射,电磁信号,_,_
有源感知系统(如空对空雷达、地面雷达、激光目标指示器等),测量,接收到的反射信号,_,_
有源感知系统(如空对空雷达、地面雷达、激光目标指示器等),提取,高保真信息,_,_
无源感知系统,截获,电磁信号,_,_
表征,_,和,_,70
识别,_,和,_,70
定位,_,和,_,70
瞄准,_,和,_,70
无源感知系统,支持,和,_,70
系统,瞄准,目标,_,_
毫米波,_,与,_,71
微波,_,与,_,71
干扰机,_,与,_,71
能力,_,与,_,71
致炫器,_,与,_,71
目标,受,高能电磁辐射攻击,_,_
定位,_,与,_,72
时间,_,与,_,72
在空域中的机动,需要,与,_,72
电磁频谱机动,考虑,电磁频谱工作参数(如频率、功率、调制等),_,_
电磁频谱机动,获得,对敌优势,_,_
电磁频谱优势,是,电磁频谱中的控制程度,_,_
敌方,实施,作战行动,_,_
电磁频谱优势,是,通过联合电磁频谱作战取得的,_,_
电磁频谱优势,是,在整个作战环境获取优势的关键使能因素,_,_
全世界范围内,存在,数以万计的用频系统,_,_
传感器,_,和,_,73
削弱,_,和,_,73
系统,_,和,_,73
欺骗,_,和,_,73
摧毁,_,和,_,73
扰乱,_,和,_,73
利用,_,和,_,73
探测,_,和,_,73
当前的电磁频谱威胁,包括,和,_,73
系统,_,和,_,74
传感器,_,和,_,74
定向能武器,实施,攻击,_,_
平台,_,和,_,75
指挥,_,和,_,75
人员,_,和,_,75
控制,_,和,_,75
设施,_,和,_,75
传感器,_,和,_,75
系统,威胁,电磁频谱,_,_
导航,_,和,_,76
利用,_,和,_,76
使用,_,和,_,76
支持,_,和,_,76
感知,_,和,_,76
敌方,寻求,和,_,76
导航,_,与,_,77
感知,_,与,_,77
敌方,使用,商用现货系统,_,_
敌方,提高,美国和多国规划人员确定目标的难度,_,_
美国,_,和,_,78
国,_,和,_,78
和,确定,目标,78,_
电磁能,_,和,_,79
攻击,_,和,_,79
能,_,和,_,79
使用,_,和,_,79
控制,_,和,_,79
电磁战,指,和,_,79
电磁能,_,和,_,80
定向能,_,和,_,80
军事行动,使用,和,_,80
军事行动,攻击,敌方,_,_
组成部分,_,和,_,81
攻击,_,和,_,81
支援,_,和,_,81
防护,_,和,_,81
电磁战,包括,和,_,81
电磁战,是,联合电磁频谱作战的一项关键职能,_,_
联合部队,取得,胜利,_,_
操作,_,和,_,82
管理,_,和,_,82
工程,_,和,_,82
联合,_,和,_,83
协调,_,和,_,83
方案,_,和,_,83
管理,_,和,_,83
功能,_,和,_,83
电磁频谱管理,包括,和,_,83
电磁频谱管理,是,联合电磁频谱作战的关键职能,_,_
联合部队,夺取,胜利,_,_
管理,_,和,_,84
利用,_,和,_,84
防护,_,和,_,84
攻击,_,和,_,84
太空,_,和,_,85
系统,_,和,_,85
管理,_,和,_,85
人员,_,和,_,85
空间,_,和,_,85
电磁战,_,和,_,85
情报,_,和,_,85
和,依靠,和,84,85
情报,_,和,_,86
电磁战,_,和,_,86
太空,_,和,_,86
空间,_,和,_,86
管理,_,和,_,86
系统,_,和,_,87
人员,_,和,_,87
和,来自,和,87,86
这些任务领域,进行,规划,_,_
指南,_,和,_,88
规程,_,和,_,88
整合,_,和,_,89
排序,_,和,_,89
冲突,_,和,_,89
同步,_,和,_,89
和,进行,和,88,89
规程,_,和,_,90
指南,_,和,_,90
和,增强,统一行动,90,_
这样做的结果,是,形成电磁作战环境机动的完全一体化的方案，以取得电磁频谱优势并达成联合部队指挥官目标,_,_
战役,_,或,_,91
战略,_,或,_,91
战术,_,或,_,91
利用,是,或,_,91
电磁频谱系统,涉及,能够感知电磁作战环境,_,_
感知,_,和,_,92
告警,_,和,_,92
搜集,_,和,_,92
瞄准,_,和,_,92
感知系统,支持,和,_,92
电磁频谱传感器,是,有源的(如空对空雷达、敌我识别应答器),_,_
电磁频谱传感器,是,无源的(如雷达告警接收机、无源雷达、红外武器导引头),_,_
信号情报,是,情报的一类,_,_
种,_,和,_,93
组合,_,和,_,93
情报,_,和,_,93
信号情报,是,和,_,93
信号情报,提供,表征电磁作战环境的基础,_,_
雷达,_,和,_,94
设备,_,和,_,94
无线电,_,和,_,94
系统,_,和,_,94
信号情报,包括,和,_,94
设备,_,和,_,95
雷达,_,和,_,95
系统,_,和,_,95
无线电,_,和,_,95
电子情报,是,信号情报的子类,_,_
技术,_,或,_,96
核爆炸,_,或,_,96
情报,_,或,_,96
核辐射源,_,或,_,96
电子情报,是,或,_,96
电磁支援,是,电磁战的组成部分,_,_
规避,_,或,_,97
寻,_,或,_,97
实施,_,或,_,97
行动,_,或,_,97
定位,_,或,_,97
威胁,_,或,_,97
截获,_,或,_,97
瞄准,_,或,_,97
规划,_,或,_,97
识别,_,或,_,97
无意,_,或,_,97
有意,_,或,_,97
搜索,_,或,_,97
电磁支援,包括,或,_,97
作战指挥官,指派,行动,_,_
无意,_,或,_,98
有意,_,或,_,98
无意,_,或,_,99
有意,_,或,_,99
无意,_,或,_,100
有意,_,或,_,100
有意,_,或,_,101
无意,_,或,_,101
地形,_,和,_,102
时间,_,和,_,102
威胁,_,和,_,102
环境,_,和,_,102
联合电磁频谱作战分队,降低,和,_,102
环境,_,与,_,103
地形,_,与,_,103
威胁,_,与,_,103
时间,_,与,_,103
不确定性,有关,与,_,103
攻击,_,或,_,104
测量,_,与,_,105
特征,_,与,_,105
情报,_,与,_,106
支援,_,与,_,106
支援,_,与,_,107
情报,_,与,_,107
装备,执行,电磁支援任务,_,_
装备,执行,情报任务,_,_
执行,_,与,_,108
负责,_,或,_,109
是,_,或,_,109
指派,_,或,_,109
提供,_,或,_,109
实施,_,或,_,109
与,在于,或,108,109
搜集,_,或,_,110
实施,_,或,_,110
指派,_,或,_,110
谁,负责,或,_,110
这些装备的任务,是,提供什么以及任务目的是什么,_,_
任务目的,是,什么,_,_
情报,_,和,_,111
支援,_,和,_,111
目的,_,和,_,112
内容,_,和,_,112
范围,_,和,_,112
和,是,和,111,112
作战指挥官,指派,任务,_,_
搜索,_,或,_,113
识别,_,或,_,113
定位,_,或,_,113
无意,_,或,_,113
截获,_,或,_,113
有意,_,或,_,113
作战指挥官指派给电磁支援装备的任务,是,或,_,113
有意,_,或,_,114
无意,_,或,_,114
来源,辐射,电磁能,_,_
局长,_,或,_,115
指挥官,_,或,_,115
者,_,或,_,115
者,_,或,_,116
局长,_,或,_,116
指挥官,_,或,_,116
或,负责,给信号情报资产分派任务,116,_
瞄准,_,及,_,117
识别,_,及,_,117
规避,_,及,_,117
作战,_,及,_,117
实施,_,及,_,117
支持,_,及,_,117
制导,_,及,_,117
电磁支援的目的,是,及,_,117
制导,_,及,_,118
作战,_,及,_,118
活动,_,及,_,118
瞄准,_,及,_,118
规避,_,及,_,118
支援,_,和,_,119
行动,_,和,_,119
相似,_,或,_,120
资源,_,或,_,120
相同,_,或,_,120
资产,_,或,_,120
和,共享,或,119,120
资源,_,和,_,121
资产,_,和,_,121
资源,_,和,_,122
资产,_,和,_,122
行动,_,和,_,123
支援,_,和,_,123
和,搜集,满足两方面需求的情报,123,_
情报,满足,两方面需求,_,_
这,是,为用于情报所搜集的数据不能满足即时的作战需求,_,_
由情报领域适当部门,处理,用于电磁支援目的而搜集的信息,_,_
从电磁频谱中收集到的信息,有,“双重用途”,_,_
作战部队,使用,未经处理的信息,_,_
未经处理的信息,维持,态势感知,_,_
第二,是,信号情报,_,_
保存,_,和,_,124
处理,_,和,_,124
由相应的情报机构,进行,和,_,124
电磁攻击,是,电磁战的组成部分,_,_
攻击,_,或,_,125
使用,_,或,_,125
能,_,或,_,125
设施,_,或,_,125
设备,_,或,_,125
人员,_,或,_,125
武器,_,或,_,125
电磁攻击,包括,或,_,125
武器,_,或,_,126
定向能,_,或,_,126
反辐射,_,或,_,127
定向能,_,或,_,127
人员,_,或,_,128
设施,_,或,_,128
设备,_,或,_,128
压制,_,或,_,129
摧毁,_,或,_,129
削弱,_,或,_,129
其目的,是,或,_,129
干扰,_,和,_,130
入侵,_,和,_,130
典型的电磁攻击能力,包括,和,_,130
欺骗,_,或,_,131
注入,_,或,_,131
迷惑,_,或,_,131
电磁入侵,包括,或,_,131
电磁攻击,是,有源的(即辐射),_,_
电磁攻击,是,无源的(即非辐射/转发),_,_
致命性,_,和,_,132
非致命性,_,和,_,132
非致命性,_,和,_,133
致命性,_,和,_,133
武器,_,和,_,134
光电,_,和,_,134
微波,_,和,_,134
射频,_,和,_,134
激光,_,和,_,134
红外,_,和,_,134
和,包括,和,133,134
武器,使用,电磁脉冲,_,_
箔条,_,和,_,135
角反射器,_,和,_,135
无源电磁攻击系统的例子,包括,和,_,135
联合电磁频谱作战规划人员,使用,联合部队指挥官的指导,_,_
联合电磁频谱作战规划人员,整合,电磁攻击,_,_
联合电磁频谱作战规划人员,协调,作战效果,_,_
联合电磁频谱作战规划人员,结合,风险释放技术,_,_
联合电磁频谱作战规划人员,减少,附带损伤,_,_
这些活动,进行,压制,_,_
部队,_,或,_,136
设施,_,或,_,136
进行,_,或,_,136
扰乱,_,或,_,136
使,_,或,_,136
系统,_,或,_,136
装备,_,或,_,136
破坏,_,或,_,136
使用,_,或,_,136
压制,_,或,_,136
指挥,_,或,_,136
卫星,_,或,_,136
人员,_,或,_,136
传感器,_,或,_,136
雷达,_,或,_,136
摧毁,_,或,_,136
侦察,_,或,_,136
控制,_,或,_,136
监视,_,或,_,136
应用范例,包括,或,_,136
人员,_,或,_,137
设施,_,或,_,137
装备,_,或,_,137
人员,_,或,_,138
设施,_,或,_,138
装备,_,或,_,138
部队,_,或,_,139
装备,_,或,_,139
传感器,_,或,_,140
装备,_,或,_,140
卫星,_,或,_,140
部队,_,或,_,140
触发,_,和,_,141
寻,_,和,_,141
瞄准,_,和,_,141
防御性电磁攻击,描述,和,_,141
敌方,使用,电磁频谱,_,_
敌方,触发,武器,_,_
己方,免,威胁,_,_
己方,受,威胁,_,_
防护,_,或,_,142
自卫,_,或,_,142
攻击,_,和,_,143
防护,_,和,_,143
人员,_,和,_,144
装备,_,和,_,144
设施,_,和,_,144
能力,_,和,_,144
设施,_,和,_,145
EMI,_,和,_,145
干扰,_,和,_,145
攻击,_,和,_,145
能力,_,和,_,145
人员,_,和,_,145
装备,_,和,_,145
电磁防护,是,和,_,145
人员,_,和,_,146
设施,_,和,_,146
装备,_,和,_,146
能力,_,和,_,146
设施,_,和,_,147
装备,_,和,_,147
人员,_,和,_,147
能力,_,和,_,147
攻击,_,或,_,148
干扰,_,或,_,148
和,受,或,147,148
触发,_,和,_,149
使用,_,和,_,149
瞄准,_,和,_,149
寻,_,和,_,149
防御性电磁攻击,是,和,_,149
敌方,使用,电磁频谱,_,_
敌方,触发,武器,_,_
联合部队,依赖,对电磁作战环境的利用,_,_
对手,_,和,_,150
自己方,_,和,_,150
敌方,_,和,_,150
中立方,_,和,_,150
联合电磁频谱作战,降,和,_,150
联合电磁频谱作战,实现,必须的电磁频谱接入,_,_
电磁战,_,和,_,151
管理,_,和,_,151
防护,_,和,_,151
联合电磁频谱作战,整合,和,_,151
联合电磁频谱作战,使,联合部队的用频系统,_,_
电磁防护,是,电磁战的组成,_,_
中立方,_,和,_,152
现象,_,和,_,152
发生,_,和,_,152
摧毁,_,和,_,152
敌方,_,和,_,152
己方,_,和,_,152
人员,_,和,_,152
装备,_,和,_,152
保护,_,和,_,152
导致,_,和,_,152
对手,_,和,_,152
频谱,_,和,_,152
压制,_,和,_,152
削弱,_,和,_,152
设施,_,和,_,152
电磁防护,包括,和,_,152
设施,_,和,_,153
装备,_,和,_,153
人员,_,和,_,153
己方,_,或,_,154
发生,_,或,_,154
中立方,_,或,_,154
对手,_,或,_,154
使用,_,或,_,154
敌方,_,或,_,154
设施,_,和,_,155
装备,_,和,_,155
人员,_,和,_,155
敌方,_,或,_,156
己方,_,或,_,156
中立方,_,或,_,156
对手,_,或,_,156
或,使用,电磁频谱,156,_
敌方,_,或,_,157
中立方,_,或,_,157
对手,_,或,_,157
己方,_,或,_,157
现象的影响,发生,或,_,157
削弱,_,或,_,158
压制,_,或,_,158
摧毁,_,或,_,158
压制,_,或,_,159
摧毁,_,或,_,159
削弱,_,或,_,159
己方战斗能力,受到,或,_,159
流程,_,或,_,160
减少,_,或,_,160
属性,_,或,_,160
干扰,_,或,_,160
消除,_,或,_,160
能力,_,或,_,160
EMI,_,或,_,160
电磁防护重点,在于,或,_,160
系统,_,或,_,161
能力,_,或,_,161
流程,_,或,_,161
属性,_,或,_,161
或,消除,电磁干扰(EMI)影响,161,_
能力,_,或,_,162
属性,_,或,_,162
系统,_,或,_,162
流程,_,或,_,162
或,减少,电磁干扰(EMI)影响,162,_
流程,_,和,_,163
方法,_,和,_,163
硬件,_,和,_,163
程序,_,和,_,163
程序,_,和,_,164
硬件,_,和,_,164
流程,_,和,_,164
方法,_,和,_,164
和,使,己方的各项功能,164,_
己方的各项功能,发挥,其既定功能,_,_
装备,_,和,_,165
设施,_,和,_,165
人员,_,和,_,165
和,发射,电磁能,165,_
人员,_,和,_,166
设施,_,和,_,166
装备,_,和,_,166
和,反射,电磁能,166,_
搜集,_,和,_,167
磁,_,和,_,167
有,_,和,_,167
利用,_,和,_,167
识别,_,和,_,167
射频,_,和,_,167
光,_,和,_,167
热,_,和,_,167
这些电磁能,具有,和,_,167
信号特征,有,特点,_,_
技术,_,和,_,168
可观测性,_,和,_,168
和,提高,光电/红外对抗的效能,168,_
人员,_,和,_,169
设施,_,和,_,169
装备,_,和,_,169
设施,_,和,_,170
装备,_,和,_,170
人员,_,和,_,170
和,受,电磁能不良效果影响,170,_
电磁加固,是,一项应对电磁攻击(如激光、高功率微波、电磁脉冲)效应的电磁防护活动,_,_
电磁防护活动,应对,电磁攻击(如激光、高功率微波、电磁脉冲)效应,_,_
传感器,_,和,_,171
规程,_,和,_,171
特征,_,和,_,171
设备,_,和,_,171
武器,_,和,_,171
系统,_,和,_,171
战时保留模式,是,和,_,171
特征,_,和,_,172
规程,_,和,_,172
敌方指挥官,知道,和,_,172
有关电磁频谱协调措施更多的信息,参阅,附录F“电磁频谱协调措施”,_,_
截获,_,和,_,173
研究,_,和,_,173
如,_,和,_,173
电磁安全,指,和,_,173
非授权人员,研究,非通信电磁辐射(如雷达),_,_
非授权人员,获取,有价值信息,_,_
联合部队在电磁频谱中的所有行动,进行,管理,_,_
联合部队,保持,行动一致,_,_
造成,_,和,_,174
使,_,和,_,174
遭受,_,和,_,174
能力,_,和,_,174
系统,_,和,_,174
电磁频谱管理的目标,是,和,_,174
能力,_,和,_,175
系统,_,和,_,175
系统,_,和,_,176
能力,_,和,_,176
和,依靠,电磁频谱,176,_
系统,_,和,_,177
能力,_,和,_,177
和,完成,设计的功能,177,_
电磁频谱管理,提供,架构,_,_
电磁频谱管理,类似,空战中的空域管理,_,_
评估,_,和,_,178
指导,_,和,_,178
规划,_,和,_,178
监控,_,和,_,178
电磁战斗管理,包括,和,_,178
电磁战斗管理,支持,指挥官的目标,_,_
它,进行,协调指导,_,_
它,使,己方电磁频谱作战行动,_,_
电磁战斗管理,是,指挥官对形成作战环境的所有行动进行告知的一种机制,_,_
指挥官,进行,告知,_,_
软件,_,所,_,179
人员,_,所,_,179
程序,_,所,_,179
通信,_,所,_,179
