本出版物,阐述,对抗全过程中在电磁频谱以及通过电磁频谱展开的军事行动,_,_
装备,_,所,_,179
设施,_,所,_,179
指挥官,规划,所,_,179
通信,_,所,_,180
软件,_,所,_,180
设施,_,所,_,180
装备,_,所,_,180
人员,_,所,_,180
程序,_,所,_,180
指挥官,指挥,所,_,180
设施,_,所,_,181
装备,_,所,_,181
程序,_,所,_,181
软件,_,所,_,181
通信,_,所,_,181
人员,_,所,_,181
指挥官,控制,所,_,181
设施,_,和,_,182
人员,_,和,_,182
软件,_,和,_,182
程序,_,和,_,182
通信,_,和,_,182
装备,_,和,_,182
电磁频谱中的行动,必需,和,_,182
指挥,_,和,_,183
控制,_,和,_,183
规划,_,和,_,183
人员,_,和,_,184
设施,_,和,_,184
软件,_,和,_,184
通信,_,和,_,184
程序,_,和,_,184
装备,_,和,_,184
和,组成,和,184,183
指挥,_,和,_,185
支持,_,和,_,185
控制,_,和,_,185
感知,_,和,_,185
电磁战斗管理,提供,和,_,185
能力,_,与,_,186
发布,_,与,_,186
协调,_,与,_,186
系统,_,与,_,186
分配,_,与,_,186
分析,_,与,_,186
指定,_,与,_,186
申请,_,与,_,186
频率管理,包括,与,_,186
系统,_,与,_,187
能力,_,与,_,187
与,依赖,电磁频谱,187,_
非电磁攻击的电磁发射,分配,频率,_,_
说明,_,与,_,188
措施,_,与,_,188
频率管理,是,与,_,188
说明,_,与,_,189
措施,_,与,_,189
频率管理,包括,频谱分析、工程、评估用频系统并根据需求开发例如联合限制频率清单、联合通信—电子操作说明等电磁频谱产品,_,_
频率管理,开发,例如联合限制频率清单、联合通信—电子操作说明等电磁频谱产品,_,_
传感器,_,和,_,190
雷达,_,和,_,190
系统,_,和,_,190
信息,_,和,_,190
通信,_,和,_,190
数据链,_,和,_,190
无线电,_,和,_,190
频率管理的例子,包括,和,_,190
与国家,进行,协调,_,_
系统,使用,会从其他感兴趣区域跨越边界进行辐射,_,_
系统,跨越,边界,_,_
系统,进行,辐射,_,_
授权批准在一国内发射电磁能,是,一项主权权利,_,_
所在国,_,与,_,191
司令部,_,与,_,191
与,确定,程序,191,_
所在国协调,完成,所在国协调,_,_
指挥官,_,和,_,192
参谋,_,和,_,192
法律,_,或,_,193
法规,_,或,_,193
条约,_,或,_,193
和,清楚,或,192,193
条约,_,或,_,194
法规,_,或,_,194
法律,_,或,_,194
在所在国未经授权使用电磁频谱,违反,或,_,194
指挥官,_,及其,_,195
参谋,_,及其,_,195
法律顾问,帮助,及其,_,195
指挥官,_,及其,_,196
参谋,_,及其,_,196
法规,_,和,_,197
法律,_,和,_,197
条约,_,和,_,197
及其,了解,和,196,197
法规,_,和,_,198
条约,_,和,_,198
法律,_,和,_,198
拥塞,_,和,_,199
对抗,_,和,_,199
和,使,在电磁作战环境中,199,_
来源,_,或,_,200
原因,_,或,_,200
诊断,_,和,_,201
报告,_,和,_,201
消除,_,或,_,202
报告,_,或,_,202
解决,_,或,_,202
作战司令部,确保,或,_,202
电磁干扰,是,有意的,_,_
辐射,_,或,_,203
谐波,_,或,_,203
管理,_,或,_,203
产物,_,或,_,203
操作,_,或,_,203
电磁干扰,是,或,_,203
辐射,_,或,_,204
管理,_,或,_,204
产物,_,或,_,204
操作,_,或,_,204
谐波,_,或,_,204
程序,_,以及,_,205
手册,_,以及,_,205
方案,_,以及,_,205
有关联合频谱干扰解决方案更多的信息,参阅,以及,_,205
任务领域,相关,与联合电磁频谱作战,_,_
频谱,_,和,_,206
空间,_,和,_,206
多数军事系统,包含,和,_,206
空间,_,和,_,207
电磁,_,和,_,207
排序,_,和,_,208
同步,_,和,_,208
冲突,_,和,_,208
大多数联合电磁频谱作战,发生,在赛博空间以外,_,_
许多赛博空间行动,使用,电磁频谱,_,_
许多赛博空间行动,建立,与目标的通信路径,_,_
例子,支持,赛博空间行动,_,_
电磁波形,_,和,_,209
位置,_,和,_,209
位置,_,和,_,210
波形,_,和,_,210
和,支持,威胁赛博空间行动,210,_
行动,威胁,赛博空间,_,_
管理能力,确保,赛博空间行动的活动与电磁作战环境中的其他军事电磁频谱活动不冲突,_,_
赛博空间行动的活动,冲突,与电磁作战环境中的其他军事电磁频谱活动,_,_
有关赛博空间行动更多的信息,参阅,联合出版物JP3_12《赛博空间行动》,_,_
所有太空作战,依靠,电磁频谱,_,_
分发,_,和,_,211
感知,_,和,_,211
控制,_,和,_,211
所有太空作战,进行,和,_,211
排序,_,和,_,212
冲突,_,和,_,212
整合,_,和,_,212
同步,_,和,_,212
同步,_,和,_,213
排序,_,和,_,213
冲突,_,和,_,213
整合,_,和,_,213
例子,支持,太空作战,_,_
辐射源,干扰,卫星链路,_,_
链路,_,或,_,214
链路,_,或,_,215
活动,_,与,_,216
干扰,_,以及,_,217
可能性,_,以及,_,217
EMI,_,以及,_,217
人员,_,以及,_,217
装备,_,以及,_,217
风险,_,以及,_,217
攻击,_,和,_,218
管理,_,和,_,218
防护,_,和,_,218
导航,_,和,_,219
授时,_,和,_,219
定位,_,和,_,219
己方部队,使用,和,_,219
敌方,使用,这些信息,_,_
有关太空作战更多的信息,参阅,联合出版物JP3_14《太空作战》,_,_
联合电磁频谱作战,提供,流程,_,_
能力,_,和,_,220
装备,_,和,_,220
系统,_,和,_,220
部队,_,和,_,220
危害,_,和,_,221
兼容性,_,和,_,221
EMI,_,和,_,221
干扰,_,和,_,221
脉冲,_,和,_,221
电磁环境效应的例子,包括,和,_,221
雷电,_,以及,_,222
干扰,_,以及,_,222
天气,_,以及,_,222
影响,_,以及,_,222
危害,_,以及,_,222
电磁辐射危害,包括,以及,_,222
装备,_,和,_,223
装置,_,和,_,223
系统,_,和,_,223
装备,_,和,_,224
装置,_,和,_,224
系统,_,和,_,224
和,使用,电磁频谱,224,_
装备,_,和,_,225
装置,_,和,_,225
系统,_,和,_,225
运用,_,来,_,226
实现,_,来,_,226
电磁兼容,涉及,来,_,226
手段,_,或,_,227
核爆,_,或,_,227
武器,_,或,_,227
现象,_,或,_,227
电磁脉冲,是,或,_,227
武器,_,或,_,228
核爆,_,或,_,228
手段,_,或,_,228
现象,_,或,_,228
或,产生,电磁辐射,228,_
电压,_,和,_,229
电流,_,和,_,229
电磁脉冲,产生,和,_,229
高空电磁脉冲,产生,极大的破坏性场强,_,_
定向能武器,产生,极大的破坏性场强,_,_
装备,_,和,_,230
防护,_,和,_,230
设施,_,和,_,230
人员,_,和,_,230
屏蔽,_,和,_,230
防护,_,和,_,231
屏蔽,_,和,_,231
发射机或天线装置,产生,超过安全水平的电磁辐射,_,_
电磁辐射,超过,安全水平,_,_
人员,_,和,_,232
军械,_,和,_,232
燃料,_,和,_,232
发射机或天线装置,确保,作业安全,_,_
在电磁频谱中工作的系统,受,电磁环境效应的影响,_,_
装备,_,和,_,233
平台,_,和,_,233
系统,_,和,_,233
设备,_,和,_,233
军械,_,和,_,233
设计,_,和,_,234
测试,_,和,_,234
和,暴露,和,234,233
互操作性,_,和,_,235
安全性,_,和,_,235
可靠性,_,和,_,235
互操作性,_,和,_,236
可靠性,_,和,_,236
安全性,_,和,_,236
性能,存在,明显的降级(无法完成指定任务),_,_
其,存在,电磁易损性,_,_
联合电磁频谱作战规划人员,确定,电磁环境效应的关键影响,_,_
手段,缓解,电磁环境效应,_,_
接收,_,与,_,237
发射,_,与,_,237
属性,_,和,_,238
位置,_,和,_,238
发射,_,和,_,238
时间,_,和,_,238
接收,_,和,_,238
有关电磁环境效应更多的信息,参阅,国防部指令DODI3222.03《国防部电磁环境效应项目》,_,_
指挥,_,和,_,239
整合,_,和,_,239
同步,_,和,_,239
活动,_,与,_,240
能力,_,与,_,240
与,有助于,和,240,239
活动,_,与,_,241
能力,_,与,_,241
联合部队指挥官,整合,与,_,241
能力,_,与,_,242
活动,_,与,_,242
联合部队指挥官,同步,与,_,242
能力,_,与,_,243
活动,_,与,_,243
的作战行动,依赖,电磁频谱,_,_
管理,_,和,_,244
整合,_,和,_,244
这些行动,进行,和,_,244
光学,_,和,_,245
频段,_,和,_,245
微波,_,和,_,245
无线电,_,和,_,245
频谱,_,和,_,245
指挥官的指挥控制,依赖,和,_,245
微波,_,和,_,246
光学,_,和,_,246
无线电,_,和,_,246
这些频段,受到,敌方的对抗,_,_
敌方,_,和,_,247
对手,_,和,_,247
民用,_,和,_,247
应用,_,和,_,247
商用,_,和,_,247
联合电磁频谱作战,消除,和,_,247
同步,_,和,_,248
排序,_,和,_,248
联合电磁频谱作战,保护,联合部队通信系统,_,_
联合部队通信系统,受,敌方电磁攻击的威胁,_,_
指挥,_,和,_,249
控制,_,和,_,249
在电磁频谱中的作战,受到,和,_,249
了解作战环境,是,联合作战的基础,_,_
传感器,依赖,于频谱,_,_
无论是有源的(如合成孔径雷达)还是无源的(如情报监视侦察平台、无线电扫描仪、红外照相机),提供,近实时感知作战环境态势所需的大部分信息,_,_
近实时感知作战环境态势,需,信息,_,_
无论是有源的(如合成孔径雷达)还是无源的(如情报监视侦察平台、无线电扫描仪、红外照相机),提供,支持,_,_
判断,_,和,_,250
产品,_,和,_,250
作战环境的联合情报准备,是,和,_,250
判断,_,和,_,251
产品,_,和,_,251
联合情报机构,生成,和,_,251
作战环境的联合情报准备,提供,支持,_,_
排序,_,和,_,252
同步,_,和,_,252
整合,_,和,_,252
联合电磁频谱作战,增强,情报活动,_,_
联合电磁频谱作战,是,支持火力的关键使能器,_,_
使能器,支持,火力,_,_
削弱,_,和,_,253
欺骗,_,和,_,253
摧毁,_,和,_,253
中断,_,和,_,253
电磁攻击能力(包括定向能),产生,和,_,253
削弱,_,和,_,254
欺骗,_,和,_,254
中断,_,和,_,254
摧毁,_,和,_,254
指挥,_,和,_,255
需求,_,和,_,255
导引头,_,和,_,255
传感器,_,和,_,255
数据链,_,和,_,255
控制,_,和,_,255
许多火力系统,具有,和,_,255
目标瞄准传感器,依赖,于频谱,_,_
联合电磁频谱作战管理职能,消除,这些系统间的冲突,_,_
排序,_,和,_,256
整合,_,和,_,256
联合电磁频谱作战管理职能,进行,和,_,256
联合电磁频谱作战管理职能,保护,它们,_,_
它们,受,敌方电磁频谱作战的影响,_,_
领域,_,和,_,257
是,_,和,_,257
电磁战,_,和,_,257
作战,_,和,_,257
作战,_,和,_,258
领域,_,和,_,258
电磁战,_,和,_,258
领域,_,和,_,259
电磁战,_,和,_,259
作战,_,和,_,259
和,产生,协同效应,259,_
致命,_,或,_,260
电磁攻击,产生,或,_,260
支援,_,和,_,261
情报,_,和,_,261
武器化,_,和,_,262
瞄准,_,和,_,262
和,提供,和,261,262
运动,_,与,_,263
机动,_,与,_,263
运动,_,与,_,264
机动,_,与,_,264
与,获取,对敌方的优势地位,264,_
模式,_,与,_,265
频率,_,与,_,265
方向,_,与,_,265
波形,_,与,_,265
特性,_,与,_,265
功率,_,与,_,265
用频系统,改变,与,_,265
联合部队,使用,电磁攻击,_,_
联合部队,占用,关键频段,_,_
联合部队,引导,敌方,_,_
敌方,使用,电磁频谱,_,_
致命,_,和,_,266
联合部队,产生,和,_,266
机动部队,进行,有效的联合行动,_,_
支持,_,和,_,267
防护,_,和,_,267
火力,_,和,_,267
控制,_,和,_,267
信息,_,和,_,267
情报,_,和,_,267
联合电磁频谱作战,提供,和,_,267
联合电磁频谱作战,提供,保护,_,_
敌方,_,和,_,268
对手,_,和,_,268
商用,_,和,_,268
民用,_,和,_,268
联合电磁频谱作战,消除,和,_,268
民用,_,和,_,269
商用,_,和,_,269
敌方,_,和,_,269
对手,_,和,_,269
和,使用,电磁频谱,269,_
联合部队战斗识别系统,确定,优先级,_,_
联合电磁频谱作战,进行,整合,_,_
联合电磁频谱作战,保护,它们,_,_
它们,受,敌方电磁攻击的影响,_,_
对手,_,与,_,270
通信,_,与,_,270
商用,_,与,_,270
民用,_,与,_,270
使用,_,与,_,270
联合电磁频谱作战,消除,与,_,270
民用/商用/对手/敌方,使用,电磁频谱,_,_
联合电磁频谱作战,确定,优先级,_,_
联合电磁频谱作战,同步,各组成部队的通信,_,_
联合电磁频谱作战,保护,联合部队通信,_,_
联合部队通信,受,敌方电磁攻击的影响,_,_
维护活动,提供,支持,_,_
由联合电磁频谱作战提供支持的维护活动,确保,行动自由,_,_
由联合电磁频谱作战提供支持的维护活动,扩大,作战范围,_,_
由联合电磁频谱作战提供支持的维护活动,延长,战斗持续时间,_,_
联合电磁频谱作战,是,贯穿电磁作战环境的信息活动(如公共事务、军事信息支援行动、赛博空间行动)的关键使能器,_,_
信息活动,贯穿,电磁作战环境,_,_
规划,_,与,_,271
实施,_,与,_,271
与,是,联合部队指挥官的职权,271,_
要求,_,以及,_,272
分派,_,以及,_,272
数量,_,以及,_,272
规模,_,以及,_,272
完成,_,以及,_,272
以及,是,影响参谋机构的因素,272,_
因素,影响,参谋机构,_,_
需求,_,和,_,273
职能,_,和,_,273
机构,_,和,_,273
本章,规划,和,_,273
需求,_,和,_,274
职能,_,和,_,274
机构,_,和,_,274
实施,_,和,_,275
规划,_,和,_,275
本章,介绍,和,_,275
各军种,实施,电磁频谱作战,_,_
职能,_,/,_,276
军种,_,/,_,276
本章,提供,/,_,276
军种,_,/,_,277
职能,_,/,_,277
/,组成,部队,277,_
联合部队指挥官参谋的联合电磁频谱作战职能,进行,交互,_,_
颁布,_,与,_,278
评估,_,与,_,278
指南,_,与,_,278
规划,_,与,_,278
制定,_,与,_,278
实施,_,与,_,278
政策,_,与,_,278
联合部队指挥官,负责,与,_,278
政策,_,与,_,279
实施,_,与,_,279
指南,_,与,_,279
规划,_,与,_,279
评估,_,与,_,279
政策,_,与,_,280
实施,_,与,_,280
指南,_,与,_,280
规划,_,与,_,280
评估,_,与,_,280
政策,_,与,_,281
指南,_,与,_,281
人员,受训,联合电磁频谱作战,_,_
指挥官,_,及其,_,282
及其,建立,一个常设的联合电磁频谱作战分队,282,_
指挥官,_,及其,_,283
及其,支持,指派部队的电磁频谱,283,_
作战指挥官,得到,支持,_,_
每位得到支持的作战指挥官,制定,指挥政策,_,_
获得,_,及其,_,284
授权,_,及其,_,284
区域,_,及其,_,284
完成,_,及其,_,284
司令部,_,及其,_,284
使用,_,及其,_,284
每位得到支持的作战指挥官,明确,及其,_,284
指定的军事力量,使用,电磁频谱,_,_
指定的军事力量,完成,指定任务,_,_
指挥官,得到,支持,_,_
每位得到支持的联合部队指挥官,传达,在联合作战区域内获取电磁频谱优势的指南,_,_
意图,_,以及,_,285
说明,_,以及,_,285
方式,_,以及,_,285
需求,_,以及,_,285
指导,_,以及,_,285
该指南,包含,以及,_,285
较低层级,解决,用户优先级问题,_,_
力量,_,和,_,286
当局,_,和,_,286
和,保持,密切联系,286,_
当局,_,和,_,287
力量,_,和,_,287
作战,_,和,_,288
训练,_,和,_,288
演习,_,和,_,288
规划,_,和,_,288
和,确保,和,287,288
用频,_,和,_,289
使用,_,和,_,289
传输,_,和,_,289
规程,_,和,_,289
政策,_,和,_,289
保护,_,和,_,289
规程,_,和,_,290
政策,_,和,_,290
和,保护,用频系统的可重编程波形(即电磁频谱技术数据),290,_
政策,_,和,_,291
传输,_,和,_,291
保护,_,和,_,291
规程,_,和,_,291
使用,_,和,_,291
用频,_,和,_,291
特征,_,与,_,292
中立方,_,与,_,292
管理,_,以及,_,293
规划,_,以及,_,293
评估,_,以及,_,293
协调,_,以及,_,293
监控,_,以及,_,293
实施,_,以及,_,293
电磁频谱协调机构,进行,以及,_,293
联合部队指挥官,授予,电磁频谱协调权,_,_
联合部队,指派,任务,_,_
技能,_,和,_,294
任务,_,和,_,294
和,决定,实际授权,294,_
授权代表,联络,联合电磁频谱作战分队队长,_,_
授权代表,履行,职能,_,_
指南,指导,电磁频谱作战,_,_
指南,支持,联合电磁频谱作战,_,_
说明,_,以及,_,295
目标,_,以及,_,295
指南,_,以及,_,295
优先级,_,以及,_,295
清单,_,以及,_,295
规划,_,以及,_,295
指令,_,以及,_,295
指令,_,以及,_,296
说明,_,以及,_,296
目标,_,以及,_,296
规划,_,以及,_,296
清单,_,以及,_,296
优先级,_,以及,_,296
联合参谋部各处(如联合参谋部情报处(J_2)、联合参谋部作战处(J_3)、联合参谋部后勤处(J_4)、联合参谋部规划处(J_5)、联合参谋部通信系统处(J_6)),提供,所需的支持,_,_
要求,_,与,_,297
限制,_,与,_,297
限制,_,和,_,298
要求,_,和,_,298
流程,整合,和,_,298
国家,受,影响,_,_
同步,_,以及,_,299
排序,_,以及,_,299
整合,_,以及,_,299
管理,_,以及,_,299
冲突,_,以及,_,299
所有联合电磁频谱用户之间,需,协调,_,_
规程,_,和,_,300
政策,_,和,_,300
用户,定义,作战场景,_,_
目标,_,和,_,301
优势,_,和,_,301
发射,_,或,_,302
停止,_,或,_,302
电磁攻击控制权,是,或,_,302
发射,_,或,_,303
停止,_,或,_,303
指挥官,发出,或,_,303
指挥官,停止,发射,_,_
由联合部队指挥官,授权,该项权力,_,_
指挥官,具备,以下能力,_,_
系统,具有,电磁攻击能力,_,_
联合部队电磁攻击辐射活动,符合,电磁,_,_
联合电磁频谱作战分队内的联合频率管理办公室代表,协调,电磁频谱管理工作,_,_
电磁频谱管理代表,负责,联合电磁频谱作战分队的电磁频谱管理领导/协调工作,_,_
_1,提供,指导,_,_
干扰,_,和,_,304
管理,_,和,_,304
EMI,_,和,_,304
机构,_,或,_,305
所在国,_,或,_,305
使用限制指南,适用,或,_,305
与批准的电磁频谱协调措施,保持,一致,_,_
与联合部队各组成部队,协调,电磁频谱需求,_,_
特遣部队,_,或,_,306
部队,_,或,_,306
联合,_,或,_,307
部队,_,或,_,307
或,提交,电磁频,307,_
发布,_,和,_,308
更新,_,和,_,308
协调,_,和,_,308
制定,_,和,_,308
维护,_,和,_,309
规划,_,和,_,309
控制,_,和,_,309
使用,_,和,_,309
协调,_,和,_,309
和,需,通用,309,_
通信,_,和,_,310
雷达,_,和,_,310
发射机,_,和,_,310
接收机,_,和,_,310
传感器,_,和,_,310
无人机,_,和,_,310
该频率数据库,包含,和,_,310
人员,_,和,_,311
成员,_,和,_,311
联合电磁频谱作战分队核心成员,代表,联合参谋部情报处,_,_
整合,_,和,_,312
去,_,和,_,312
排序,_,和,_,312
规划,_,和,_,312
协调,_,和,_,312
冲突,_,和,_,312
同步,_,和,_,312
联合电磁频谱作战分队核心成员,负责,和,_,312
行动,_,与,_,313
搜集,_,与,_,313
搜集,_,和,_,314
输入,_,和,_,314
中立方,_,和,_,315
所在国,_,和,_,315
敌方,_,和,_,315
对手,_,和,_,315
联合电磁频谱作战分队,确定,电磁干扰(EMI)来源,_,_
联合电磁频谱作战分队,确定,目标,_,_
活动,_,和,_,316
能力,_,和,_,316
确保作战环境的联合情报准备中,包含,和,_,316
活动,_,和,_,317
能力,_,和,_,317
联络人,_,或,_,318
作战,_,或,_,318
电磁战,_,或,_,318
人员,_,或,_,318
配备,_,或,_,318
评估,_,或,_,318
行动,_,或,_,318
行动,_,或,_,319
作战,_,或,_,319
联络人,_,/,_,320
电磁战,_,/,_,320
人员,_,/,_,320
作战,_,/,_,320
战斗损伤评估小组,配备,/,_,320
人员,受,联合电磁频谱作战/电磁战训练,_,_
联络人,受,联合电磁频谱作战/电磁战训练,_,_
作战,_,或,_,321
电磁战,_,或,_,321
战斗损伤评估小组,评估,或,_,321
作战,_,或,_,322
行动,_,或,_,322
导航,_,和,_,323
授时,_,和,_,323
联合电磁频谱作战分队,确定,和,_,323
授时,_,和,_,324
导航,_,和,_,324
来源,影响,指控技术操作,_,_
联合部队指挥官,指定,协调机构,_,_
评估,_,和,_,325
方法,_,和,_,325
危害,_,和,_,326
配置,_,或,_,327
采办,_,或,_,327
大气,_,和,_,328
太空,_,和,_,328
现象,_,和,_,328
效应,_,和,_,328
大气,_,和,_,329
太空,_,和,_,329
和,影响,电磁作战环境,329,_
维护,_,和,_,330
分发,_,和,_,330
支援,_,和,_,330
为电磁频谱作战分队确定的优先级高的部队,协调,和,_,330
与联合电磁频谱作战分队,确保,将联合电磁频谱作战纳入计划,_,_
所在国,_,和,_,331
合作方,_,和,_,331
和,制定,协调程序,331,_
联合部队指挥官,指定,机构,_,_
联合电磁频谱作战分队核心成员,代表,联合参谋部通信系统处,_,_
整合,_,和,_,332
排序,_,和,_,332
同步,_,和,_,332
去,_,和,_,332
冲突,_,和,_,332
规划,_,和,_,332
协调,_,和,_,332
干扰,_,所,_,333
破坏,_,所,_,333
EMI,_,所,_,333
联合电磁频谱作战分队,解决,所,_,333
联合电磁频谱作战小组,开发,电磁频谱数据库,_,_
与所在国电磁频谱组织,协商,军用电磁频谱的使用,_,_
管理,_,和,_,334
运行,_,和,_,334
控制机构,管理,联合通信网,_,_
控制机构,运行,联合通信网,_,_
演习,_,与,_,335
作战,_,与,_,335
作战,_,与,_,336
演习,_,与,_,336
需求,_,与,_,337
缺口,_,与,_,337
与联合电磁频谱作战分队,确定,与,_,337
配置,_,或,_,338
采办,_,或,_,338
联合电磁频谱作战分队队长,是,指挥官在电磁频谱相关问题,_,_
联合部队指挥官,达成,目标,_,_
评估,_,和,_,339
标识,_,和,_,339
能,_,及其,_,340
系统,_,及其,_,340
区域,_,及其,_,340
状态,_,和,_,341
能力,_,和,_,341
数量,_,和,_,341
资源,_,和,_,341
类型,_,和,_,341
类型,_,和,_,342
状态,_,和,_,342
数量,_,和,_,342
类型,_,和,_,343
数量,_,和,_,343
状态,_,和,_,343
实现联合部队指挥官目标,需,资源,_,_
联合,_,和,_,344
活动,_,和,_,344
作战,_,和,_,344
联合,_,和,_,345
作战,_,和,_,345
活动,_,和,_,345
程序,_,和,_,346
区域,_,和,_,346
指南,_,和,_,346
政策,_,和,_,346
措施,_,和,_,346
联合部队指挥官指南,为,电磁频谱优先级,_,_
威胁,_,和,_,347
活动,_,和,_,347
冲突,_,和,_,347
分配,_,及其,_,348
作战,_,及其,_,348
命令,_,和,_,349
指示,_,和,_,349
指示,_,与,_,350
命令,_,与,_,350
常设的联合电磁频谱作战分队以外的专业技能,解决,问题,_,_
未来,_,和,_,351
当前,_,和,_,351
规划,_,和,_,352
协调,_,和,_,352
实施,_,和,_,352
评估,_,和,_,352
情报需求,支持,联合电磁频谱作战,_,_
与联合参谋部情报处(J_2),提出,电磁频谱使用优先级建议,_,_
分析,_,和,_,353
建模,_,和,_,353
仿真,_,和,_,353
建模,_,和,_,354
分析,_,和,_,354
仿真,_,和,_,354
己方,_,以及,_,355
中立方,_,以及,_,355
威胁方,_,以及,_,355
己方,_,以及,_,356
中立方,_,以及,_,356
威胁方,_,以及,_,356
联合,_,和,_,357
国,_,和,_,357
规划,_,和,_,358
实施,_,和,_,358
3320.02《联合频谱干扰解决方案》,执行,联合频谱干扰解决方案职能,_,_
指导,_,和,_,359
程序,_,和,_,359
流程,_,和,_,360
标准,_,和,_,360
流程,_,和,_,361
标准,_,和,_,361
与联合参谋部规划处(J_5),执行,所在国协调职能,_,_
小组,_,和,_,362
大使馆,_,和,_,362
所在国,_,和,_,362
办公室,_,和,_,362
所在国协调,涉及,和,_,362
系统,_,/,_,363
能力,_,/,_,363
指导,_,和,_,364
程序,_,和,_,364
J_6,_,和,_,365
J_3,_,和,_,365
J_2,_,和,_,365
状态,_,和,_,366
可用性,_,和,_,366
系统,_,和,_,366
能力,_,和,_,366
电磁频谱作战计划,组成,部队,_,_
烟,_,与,_,367
支持,_,与,_,367
差距,_,与,_,367
清单,_,与,_,367
呼号,_,与,_,367
用频,_,与,_,367
请求,_,与,_,367
说明,_,与,_,367
火,_,与,_,367
需求,_,与,_,367
能力,_,与,_,367
